name,seller,category,region,offering_type,update_frequency,description,price
Zacks Sales Estimates History,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"Updated daily, this database offers consensus sales estimates revision history for over 5,000 publicly traded companies going as far back as 2000",120
Complete List of American Speedy Printing Locations,AggData,Location Lists,"US, Canada",1,0,"This is a complete list of American Speedy Printing locations, along with their geographic coordinates. American Speedy Printing is a brand of Allegra Network",59
Dusseldorf Stock Exchange Prices,Exchange Data International,"Banks, Insurance, Financial Services",World,2,1,"EOD stock prices, dividends, adjustments and splits for stocks in Börse Düsseldorf, including delisted ones. Data from Exchange Data International.",50
US Option Analytics,Quantcha,"Banks, Insurance, Financial Services",US,2,1,"70+ daily option analytics for 8,000+ US equities, including put/call ratios, forward prices, and option, call, and put breakevens",100
Cushing Oil Inventory,Cushing Oil Inventory,"Chemical, other industries","Cushing, Oklahoma",2,2,"Weekly estimates of Cushing, OK oil inventory. Data is typically published 2 days before weekly EIA release.",199
Complete List of Boulanger France Locations,AggData,Location Lists,France,1,0,"This is a complete list of Boulanger France locations along with their geographical coordinates. Boulanger France is a home electronics chain that offers a wide selection, great quality, and low prices. They have departments such as: large and small appliances, kitchen items, tablets & smartphones, and TV/ home cinema, as well as many others",67
Singapore Exchange Prices,Exchange Data International,"Banks, Insurance, Financial Services",Singapore,2,1,"EOD stock prices, dividends, adjustments and splits for all Singapore Exchange stocks, including delisted ones. Data from Exchange Data International",50
Zacks Holder Metrics,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"Updated daily, this database contains a selection of calculated institutional and insider shareholder metrics for over 6,000 actively traded US traded equities, focusing on the distribution, rotation, concentration and styles of holder types",120
Chinese Earnings Forecasts,Datayes,"Banks, Insurance, Financial Services",China,2,1,"Earnings forecasts and express earnings reports for Chinese public companies (including delisted ones) on the Shanghai and Shenzhen exchanges, with history to 2007",25
Barchart ICE Europe Futures,Barchart,"Banks, Insurance, Financial Services",Europe,2,1,"Updated daily, this database offers futures prices for 110+ contracts traded on the ICE Europe Exchange. Data history goes back to 1986",85
Complete List of AutoZone Mexico Locations,AggData,Location Lists,Mexico,1,0,"This is a complete list of all AutoZone Mexico locations, along with their geographic coordinates. AutoZone is an auto parts retailer based in Memphis, Tennessee. The first Autozone was started as an Auto Shack in 1979 in Forrest City, Arkansas. In 2003 AutoZone and Midas formed a partnership. Autozone expanded into Mexico in order to serve the populace in that area. The data includes phone numbers for each location",89
Chinese Stock Index Prices,Datayes,"Banks, Insurance, Financial Services",China,2,1,"Prices for over 700 Chinese financial market indexes, developed and maintained by stock exchanges and other financial institutions, with history to 1990",50
Complete List of Krëfel Belgium Locations,AggData,Location Lists,Belgium,1,0,"This is a complete list of Krëfel Belgium locations along with their geographical coordinates. Krëfel is a household electrical chain established in 1958 by Auguste Marcel Poulet. Their products include smartphones, tablets, computers, cameras, kitchen robots, washer and dryers. This data includes addresses and phone numbers for each location",59
Complete List of ALDI UK Locations,AggData,Location Lists,UK,1,0,This is a complete list of ALDI UK locations along with their geographical coordinates.  ALDI UK provides customers with a discount grocery experience. Fresh produce and groceries for less throughout the UK,89
Complete List of El Palacio de Hierro Mexico Locations,AggData,Location Lists,Mexico,1,0,"This is a complete list of El Palacio de Hierro Mexico locations along with their geographical coordinates. El Palacio de Hierro Mexico is campaigned with the phrase Soy Totalmente Palacio. They have been in business since 1891, with the desire to be the best and highest quality department store in Mexico. With beautiful clothing, cosmetics, jewelry, and much more, Palacio de Hierro sells it all",59
Complete List of Bow Tie Cinemas Locations,AggData,Location Lists,US,1,0,This is a complete list of Bow Tie Cinemas locations along with their geographical coordinates. Bow Tie Cinemas provides cinema entertainment and is one of the largest independently-owned theater circuits in the New York Metropolitan Area,59
Euronext Brussels Stock Prices,Exchange Data International,"Banks, Insurance, Financial Services",Brussels,2,1,"EOD stock prices, dividends, adjustments and splits for stocks in Euronext Brussels, including delisted ones. Data from Exchange Data International",50
Zacks Target Price History,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"Updated daily, this database offers historical target price estimate revisions for over 5,000 publicly traded companies going as far back as 1995",120
Complete List of Cineplex Entertainment Locations,AggData,Location Lists,US,1,0,"This is a complete list of all Cineplex Entertainment theater locations along with their geographic coordinates. Cineplex Inc is the largest film exhibitor in Canada, headquartered in Toronto, Canada",67
Zacks Analyst Revisions,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"Updated daily, this database provides recent estimate and ratings revisions from individual contributing brokers and analysts.",120
Barchart Eurex Futures,Barchart,"Banks, Insurance, Financial Services",US,2,1,"Updated daily, this data feed offers futures prices for over 70 contracts traded on the Eurex Exchange. Data history goes back to 1990",85
Crimes in Chicago - Map,john,Government,Chicago,2,1,"This dataset reflects reported incidents of crime that have occurred in the City of Chicago over the past year, minus the most recent seven days of data. Data is extracted from the Chicago Police Department's CLEAR (Citizen Law Enforcement Analysis and Reporting) system. In order to protect the privacy of crime victims, addresses are shown at the block level only and specific locations are not identified.",50
Airplane Crashes and Fatalities Since 1908,john,Government,World,1,0,"Full history of airplane crashes throughout the world, from 1908-present.",30.0
Spanish La Liga (football),gautam,"Sports, Recreation",Spain,2,2,"This dataset contains data for last 10 seasons of Spanish La Liga including current season. The data is updated on weekly basis via Travis-CI. The dataset is sourced from http://www.football-data.co.uk/ website and contains various statistical data such as final and half time result, corners, yellow and red cards etc.",19.0
Italian Serie A (football),gautam,"Sports, Recreation",Italy,2,2,"This dataset contains data for last 10 seasons of Italian Serie A including current season. The data is updated on weekly basis via Travis-CI. The dataset is sourced from http://www.football-data.co.uk/ website and contains various statistical data such as final and half time result, corners, yellow and red cards etc.",19.0
Large Movie Review Dataset,john,Machine Learning,World,1,0,"This is a dataset for binary sentiment classification containing substantially more data than previous benchmark datasets. We provide a set of 25,000 highly polar movie reviews for training, and 25,000 for testing. There is additional unlabeled data for use as well. Raw text and already processed bag of words formats are provided. See the README file contained in the release for more details.",25.0
Crimes in Chicago - Map,john,Government,Chicago,2,1,"This dataset reflects reported incidents of crime that have occurred in the City of Chicago over the past year, minus the most recent seven days of data. Data is extracted from the Chicago Police Department's CLEAR (Citizen Law Enforcement Analysis and Reporting) system. In order to protect the privacy of crime victims, addresses are shown at the block level only and specific locations are not identified.",40.0
